Isolate.name,predicted_MLST.CC,fin_score,predicted_mlst_is_correct,predicted_mlst_is_single
45564_9153_MF_149,CC30,0.857048406139314,TRUE,TRUE
45565_9153_MF_150,CC8,0.888304941811436,TRUE,TRUE
45566_9153_MF_151,CC59,0.844897959183673,TRUE,TRUE
45567_9153_MF_152,CC15,0.863336144375105,TRUE,TRUE
45568_9153_MF_153,CC5,0.948557935570923,TRUE,TRUE
45569_9153_MF_154,CC8,0.847346938775511,TRUE,TRUE
45570_9153_MF_155,CC1,0.895962219598583,TRUE,TRUE
45571_9153_MF_156,CC30,0.8739146567718,TRUE,TRUE
45572_9153_MF_157,CC30,0.888433125316242,TRUE,TRUE
45573_9153_MF_158,CC5,0.908436498566369,TRUE,TRUE
45574_9153_MF_159,CC5,0.941015348288075,TRUE,TRUE
45575_9153_MF_160,CC8,0.864111991904199,TRUE,TRUE
45576_9153_MF_161,CC45,0.837807387417777,TRUE,TRUE
45577_9153_MF_162,CC15,0.881160398043515,TRUE,TRUE
45578_9153_MF_163,CC1,0.910669590150109,TRUE,TRUE
45579_9153_MF_164,CC5,0.963798279642436,TRUE,TRUE
45580_9153_MF_165,CC45,0.837915331421825,TRUE,TRUE
45581_9153_MF_166,CC15,0.8739146567718,TRUE,TRUE
45582_9153_MF_167,CC8,0.854477989542924,TRUE,TRUE
45583_9153_MF_168,CC45,0.85469387755102,TRUE,TRUE
45584_9153_MF_169,CC5,0.956194973857312,TRUE,TRUE
45585_9153_MF_170,CC398/CC5561,0.8739146567718,TRUE,TRUE
45586_9153_MF_171,CC15,0.886044864226682,TRUE,TRUE
45587_9153_MF_172,CC15,0.866695901501097,TRUE,TRUE
45588_9153_MF_173,CC30,0.861636026311351,TRUE,TRUE
45589_9153_MF_174,CC8,0.878536009445101,TRUE,TRUE
45590_9153_MF_175,CC1,0.895854275594536,TRUE,TRUE
45591_9153_MF_176,CC15,0.851570247933885,TRUE,TRUE
