barcode,n_reads,st,coverage,arcC,aroE,glpF,gmk,pta,tpi,yqiL,basecall_method
10,9000,ND,69.93,12*,840*,"",4*,12,1*,896*,fast
10,10000,ND,81.26,12*,825*,"",4*,12,1,896*,fast
17,1000,ND,15.00,442*,435*,"","",44*,512*,1051*,fast
17,2000,ND,53.01,484*,435*,2*,493*,660*,512*,638*,fast
17,3000,ND,62.35,484*,435*,2*,493*,660*,285*,1*,fast
17,4000,ND,89.86,484*,164*,104*,493*,660*,285*,1*,fast
17,5000,ND,89.86,484*,164*,104*,493*,660*,285*,1*,fast
17,6000,ND,93.11,484*,164*,104*,493*,660*,285*,1*,fast
17,7000,ND,93.11,484*,164*,104*,493*,660*,285*,1*,fast
17,8000,ND,93.43,484*,164*,104*,493*,660*,1,1*,fast
17,9000,ND,97.81,484*,164,104*,493*,1*,1,1,fast
17,10000,ND,98.81,484*,164,104*,1,1,1,1,fast
18,1000,ND,0.21,"",295*,"","","",290*,"",fast
18,2000,ND,25.22,833*,87*,"","",5*,402*,3*,fast
18,3000,ND,26.05,833*,792*,"",62*,5*,402*,11*,fast
18,4000,ND,26.38,166*,87*,"",62*,193*,402*,11*,fast
18,5000,ND,48.04,286*,1146*,"",62*,193*,402*,11*,fast
18,6000,ND,59.73,286*,1146*,"",62*,537*,402*,11*,fast
18,7000,ND,62.37,286*,1146*,"",62*,27*,402*,11*,fast
18,8000,ND,65.76,286*,1146*,"",62*,4*,345*,11*,fast
18,9000,ND,66.92,286*,1146*,"",62*,4*,4,3,fast
18,10000,ND,77.63,286*,1146*,1018*,62*,4*,4,3,fast
25,1000,ND,23.27,442*,736*,"",119*,"","",679*,fast
25,2000,ND,57.39,442*,76*,"",119*,4*,226*,3,fast
25,3000,ND,69.22,162*,340*,"",119*,4*,226*,3,fast
25,4000,ND,73.52,162*,340*,"",119*,4*,226*,3,fast
25,5000,ND,73.52,162*,340*,"",119*,4*,226*,3,fast
25,6000,ND,86.17,162*,340*,478*,260*,4*,226*,3,fast
25,7000,ND,90.23,162*,340*,478*,260*,4*,4*,3,fast
25,8000,ND,91.70,551,340*,478*,260*,4*,4*,3,fast
25,9000,ND,95.14,551,340*,60*,174*,4*,4*,3,fast
25,10000,ND,95.33,551,340*,60*,174*,4,4*,3,fast
26,1000,ND,18.61,271*,306*,228*,2*,294*,23*,"",fast
26,2000,ND,37.02,442*,127*,527*,2*,294*,23*,85*,fast
26,3000,ND,37.08,442*,127*,527*,2*,44*,23*,85*,fast
26,4000,ND,55.12,442*,5*,527*,2*,174*,118*,85*,fast
26,5000,ND,60.04,442*,5*,527*,2*,901*,566*,5*,fast
26,6000,ND,60.20,442*,5*,527*,2*,901*,229*,5*,fast
26,7000,ND,62.13,442*,5*,527*,2*,7*,229*,5,fast
26,8000,ND,76.13,442*,5*,527*,360*,7,14,5,fast
26,9000,ND,76.19,442*,5*,527*,360*,7,14,5,fast
26,10000,ND,86.08,970*,5*,527*,360*,7,14,5,fast
33,1000,ND,31.80,140*,393*,"",210*,868*,55*,514*,fast
33,2000,ND,49.17,140*,393*,"",210*,43*,55*,514*,fast
33,3000,ND,59.82,140*,393*,"",616*,43*,55*,51*,fast
33,4000,ND,76.63,140*,393*,44*,616*,43*,55*,51*,fast
33,5000,ND,77.59,140*,393*,44*,616*,43*,55*,51*,fast
33,6000,ND,77.59,140*,393*,44*,616*,43*,55*,51*,fast
33,7000,ND,77.62,140*,393*,44*,616*,43*,55*,51*,fast
33,8000,ND,77.62,140*,393*,44*,616*,43*,55*,51*,fast
33,9000,ND,77.62,140*,393*,44*,616*,43*,55*,51*,fast
33,10000,ND,77.62,140*,393*,44*,616*,43*,55*,51*,fast
34,1000,ND,36.33,301*,736*,750*,338*,44*,512*,"",fast
34,2000,ND,39.36,302*,168*,750*,338*,44*,512*,"",fast
34,3000,ND,51.57,302*,168*,750*,338*,537*,291*,"",fast
34,4000,ND,51.67,302*,50*,750*,338*,537*,291*,"",fast
34,5000,ND,51.90,302*,718*,750*,338*,537*,291*,"",fast
34,6000,ND,53.28,302*,319*,750*,1*,537*,291*,"",fast
34,7000,ND,73.83,302*,265*,750*,1*,537*,291*,507*,fast
34,8000,ND,75.32,302*,265*,1*,1*,537*,291*,507*,fast
34,9000,ND,77.03,3*,265*,1*,1*,4,291*,507*,fast
34,10000,ND,85.51,3,265*,1*,1*,4,385*,507*,fast
41,1000,ND,12.28,"",32*,"",79*,645*,287*,1020*,fast
41,2000,ND,21.72,2*,32*,169*,79*,25*,287*,1020*,fast
41,3000,ND,21.85,2*,32*,169*,79*,25*,287*,1020*,fast
41,4000,ND,21.85,2*,32*,169*,79*,25*,287*,1020*,fast
41,5000,ND,46.48,2*,32*,643*,79*,25*,501*,1020*,fast
41,6000,ND,59.25,2*,32*,491*,671*,213*,501*,1020*,fast
41,7000,ND,71.16,2*,32*,491*,671*,1010*,501*,1020*,fast
41,8000,ND,71.19,2*,32*,491*,1*,1010*,501*,1020*,fast
41,9000,ND,71.20,162*,32*,491*,1*,1010*,501*,1020*,fast
41,10000,ND,79.94,551*,3*,491*,1*,35*,501*,1020*,fast
42,1000,ND,18.71,"",96*,"","",111*,550*,"",fast
42,2000,ND,18.84,"",250*,"","",111*,550*,"",fast
42,3000,ND,37.22,"",530*,"","",950*,550*,364*,fast
42,4000,ND,60.31,710*,530*,467*,"",950*,550*,364*,fast
42,5000,ND,61.71,710*,530*,467*,"",11*,550*,364*,fast
42,6000,ND,70.83,710*,530*,467*,31*,11*,550*,364*,fast
42,7000,ND,79.32,710*,678*,467*,8*,11,5*,364*,fast
42,8000,ND,87.17,710*,678*,467*,8*,11,5*,11*,fast
42,9000,ND,90.61,710*,678*,467*,8*,11,5,11*,fast
42,10000,ND,94.37,1*,678*,467*,8*,11,5,11*,fast
49,1000,ND,35.46,442*,127*,"",28*,262*,270*,3*,fast
49,2000,ND,47.15,442*,373*,"",28*,11*,2*,3*,fast
49,3000,ND,47.80,442*,832*,"",28*,11*,2*,3*,fast
49,4000,ND,48.01,271*,832*,"",28*,11*,2*,3*,fast
49,5000,ND,48.26,271*,832*,"",28*,11*,2*,3*,fast
49,6000,ND,48.56,271*,832*,"",28*,11*,2*,3*,fast
49,7000,ND,48.65,271*,469*,"",28*,11*,2*,3*,fast
49,8000,ND,48.68,271*,469*,"",28*,11*,2*,3*,fast
49,9000,ND,51.56,271*,469*,"",15*,11*,2*,3*,fast
49,10000,ND,65.00,543*,469*,"",15*,11*,2*,3*,fast
50,1000,ND,9.65,"",228*,"","",25*,198*,"",fast
50,2000,ND,31.49,"",860*,144*,"",860*,198*,422*,fast
50,3000,ND,46.02,"",170*,144*,"",860*,19*,422*,fast
50,4000,ND,73.05,703*,170*,144*,337*,860*,19*,3*,fast
50,5000,ND,74.17,90*,170*,144*,337*,860*,19*,3*,fast
50,6000,ND,77.17,276*,1*,144*,337*,860*,19*,3*,fast
50,7000,ND,80.78,276*,1*,144*,15*,860*,19*,3*,fast
50,8000,ND,80.78,276*,1*,144*,15*,860*,19*,3*,fast
50,9000,ND,86.06,276*,1*,144*,15*,781*,19,3*,fast
50,10000,ND,95.20,276*,1*,14*,15*,781*,19,3*,fast
57,1000,ND,12.73,791*,87*,"",8*,116*,"","",fast
57,2000,ND,25.92,791*,210*,218*,8*,324*,"","",fast
57,3000,ND,42.28,791*,179*,218*,8*,164*,460*,11*,fast
57,4000,ND,44.18,791*,87*,218*,8*,324*,91*,11*,fast
57,5000,ND,46.65,791*,87*,1*,8*,324*,91*,11*,fast
57,6000,ND,54.65,603*,87*,1*,8*,164*,91*,11*,fast
57,7000,ND,66.09,603*,87*,1*,8*,164*,5*,11*,fast
57,8000,ND,80.74,603*,87*,1*,8*,781*,5*,11*,fast
